ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,EDUCATION_TYPE,INCOME_PER_MEMBER,AGE_GROUP,EMPLOYMENT_RATIO,COMM_SCORE
5008806,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,29,59.0,3.0,0,112500.0,Working,Secondary / secondary special,56250.0,Elderly,0.05084745762711865,0
5008808,F,N,Y,0.0,Single / not married,House / apartment,1,0,1,1,1.0,4,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,270000.0,Senior,0.15384615384615385,2
5008809,F,N,Y,0.0,Single / not married,House / apartment,1,0,1,1,1.0,26,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,270000.0,Senior,0.15384615384615385,2
5008810,F,N,Y,0.0,Single / not married,House / apartment,1,0,1,1,1.0,26,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,270000.0,Senior,0.15384615384615385,2
5008811,F,N,Y,0.0,Single / not married,House / apartment,1,0,1,1,1.0,38,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,270000.0,Senior,0.15384615384615385,2
5008815,M,Y,Y,0.0,Married,House / apartment,1,1,1,1,2.0,5,46.0,2.0,0,270000.0,Working,Higher education,135000.0,Senior,0.043478260869565216,3
5112956,M,Y,Y,0.0,Married,House / apartment,1,1,1,1,2.0,42,46.0,2.0,0,270000.0,Working,Higher education,135000.0,Senior,0.043478260869565216,3
5008819,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,17,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,67500.0,Senior,0.061224489795918366,0
5008820,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,16,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,67500.0,Senior,0.061224489795918366,0
5008821,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,8,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,67500.0,Senior,0.061224489795918366,0
5008822,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,22,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,67500.0,Senior,0.061224489795918366,0
5008823,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,7,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,67500.0,Senior,0.061224489795918366,0
5008824,M,Y,Y,0.0,Married,House / apartment,1,0,0,0,2.0,3,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,67500.0,Senior,0.061224489795918366,0
5008825,F,Y,N,0.0,Married,House / apartment,1,0,0,0,2.0,25,29.0,3.0,0,130500.0,Working,Incomplete higher,65250.0,Adult,0.10344827586206896,0
5008826,F,Y,N,0.0,Married,House / apartment,1,0,0,0,2.0,30,29.0,3.0,0,130500.0,Working,Incomplete higher,65250.0,Adult,0.10344827586206896,0
5008830,F,N,Y,0.0,Married,House / apartment,1,0,1,0,2.0,31,27.0,4.0,0,157500.0,Working,Secondary / secondary special,78750.0,Adult,0.14814814814814814,1
5008831,F,N,Y,0.0,Married,House / apartment,1,0,1,0,2.0,19,27.0,4.0,0,157500.0,Working,Secondary / secondary special,78750.0,Adult,0.14814814814814814,1
5008832,F,N,Y,0.0,Married,House / apartment,1,0,1,0,2.0,34,27.0,4.0,0,157500.0,Working,Secondary / secondary special,78750.0,Adult,0.14814814814814814,1
5008836,M,Y,Y,2.5,Married,House / apartment,1,0,0,0,4.5,24,35.0,3.0,0,270000.0,Working,Secondary / secondary special,60000.0,Adult,0.08571428571428572,0
5008837,M,Y,Y,2.5,Married,House / apartment,1,0,0,0,4.5,18,35.0,3.0,0,270000.0,Working,Secondary / secondary special,60000.0,Adult,0.08571428571428572,0
5008838,M,N,Y,1.0,Married,House / apartment,1,0,0,0,3.0,39,32.0,6.0,0,360000.0,Commercial associate,Higher education,120000.0,Adult,0.1875,0
